id,subject,type,owner_id,who_id,what_id,location,start_datetime,end_datetime,is_all_day_event,created_date
00UkBFqP0aLujfzEsM,QBR - Renewal,Executive Review,005oTuswObpFtGANeE,003dKE22Q2tKb2u0EK,001EvHMmJF4EzvDGhz,Onsite,2022-12-04T08:00:00,2022-12-04T08:30:00,false,2022-12-03
00UO4UwRWWwVXVyWRH,QBR - Renewal,Meeting,005kPk12Yr5iVYwvIy,00322jpk2IMI7bK8I1,006W6Zh4yWcjJib2kt,Phone,2025-05-06T13:00:00,2025-05-06T14:00:00,false,2025-04-23
00UcKJ7FIZqmNugI7Z,QBR - Discovery,Meeting,00517kC03BFC8pxkQp,003lclW3XQqvd1A8Ep,001UERU5Sa5BbqD8dy,Zoom,2022-05-08T12:00:00,2022-05-08T13:30:00,false,2022-04-22
00UONsLpxghX1cxqlH,Demo - Roadmap,Meeting,005IeU7PAQYPcwR9VT,003xcprTxKP4UO2qV1,006EStF5028QizSj7b,Zoom,2025-04-01T10:00:00,2025-04-01T10:45:00,false,2025-03-11
00USP9XEc5LVWvWGfR,QBR - Executive,Demo,005U1SVjkIk2fyV5rw,003J4MWaqfyyxIOzbh,001kmimwHbFlrvyDWh,Zoom,2022-10-25T11:00:00,2022-10-25T11:30:00,false,2022-10-21
00U6bdgoIg5DlN80Hf,Demo - Executive,Meeting,005rTQ0LB8Z2cjvjPG,003KOTfbEBcZMeXPSw,001HzLwjq3cjbJaMxs,Onsite,2024-08-23T12:00:00,2024-08-23T12:45:00,false,2024-08-17
00UCFnoGoVygqJnuJx,Meeting - Renewal,QBR,005TpaHIC8CTfHGP4i,003CWyoRRhqxWd5xNZ,001NHq4RmvxzqhzWVc,Zoom,2024-01-09T11:00:00,2024-01-09T11:45:00,false,2023-12-26
00UwhtkzotxKyGTTYW,Onsite Visit - Renewal,Onsite Visit,00566La41L76C1ZyfL,00305344zKwit21k4N,006QmufnRwOyVcYwXB,Phone,2024-01-16T08:00:00,2024-01-16T09:00:00,false,2023-12-30
00UzmOLYhH7xndc5oL,QBR - Roadmap,Executive Review,005dJm5gIU7nUKZnv1,003aXcL9dUIObp2eLY,001WARVD9wYWWo1vFB,Phone,2024-09-19T13:00:00,2024-09-19T13:45:00,false,2024-09-17
00UibbUEMMznnJPW4Z,QBR - Executive,Executive Review,00574uwHCzqanx744B,003w6dUGDQsAHxWjg6,006HJULIBY0Hi3hcBD,Zoom,2025-09-03T16:00:00,2025-09-03T16:30:00,false,2025-08-18
00UnUUG0pth7FxYGE0,Demo - Renewal,Meeting,005OHuMUHvi8wsLMNv,003QJrvUgo8YCKyBCn,0060eRJEmcwxQ0AEzK,Onsite,2022-01-05T16:00:00,2022-01-05T16:30:00,false,2022-01-03
00Uc2WBMlOhxq0csLH,Onsite Visit - Discovery,Onsite Visit,005lECbWsEiD75E7eC,003W0RppiVBhPID5Ey,001EKjuWsiLlRN3iC4,Onsite,2023-04-20T14:00:00,2023-04-20T14:45:00,false,2023-04-08
