id,subject,type,status,priority,owner_id,who_id,what_id,activity_date,is_closed,created_date
00Tx7UkNIOqMZYKYBC,Qualification - Next Steps,Discovery,Deferred,Normal,005HAD1xOIM0ZXro8p,00QE3a1DsEpORXhYNg,006tszPRg8mrZb1n2t,2023-01-18,true,2022-12-19
00TnRIcLhZbtT1oCS8,Follow-up - Intro,Call,Deferred,Normal,005xG5kruHOvgAC23A,00QZlwFSRYroG3SwZ2,001dOMVo5Ik7RiW7Dk,2025-12-22,true,2025-12-04
00TDOc2TvFk3ZXZyF0,Follow-up - Renewal,Call,Deferred,Normal,005FlqJ6WT9psqZImt,0031vrx1AlLPdk2JGy,0013XpZUjl6siiRMzj,2025-06-19,false,2025-06-03
00Tnl4sZRvvf9VxF8T,Call - Renewal,Qualification,Deferred,Normal,0058Bwr0RkCwwLehpc,00QPa4mfr6zPLAEkRw,006oswPKc1kekrzOng,2022-05-25,false,2022-05-05
00T0EIISkizktZTiFL,Discovery - Next Steps,Qualification,Deferred,High,005YJKL1sxnz5KucCa,00QzHZsvdt7VnH1Aex,0060gyDCu4KpfJzPBn,2025-03-11,true,2025-02-11
00TqKg1QlH06rdYOQI,Email - Renewal,Qualification,Deferred,Low,005sj6ewizq0NwPrwm,00QsnFqzT0uvLrlf7L,001JggfNHI2Y3wyW8R,2024-02-12,false,2024-02-04
00TXTTyxpiy6nXn6mV,Qualification - Next Steps,Follow-up,Not Started,Normal,005TqlXejhWbvjVWsd,003Hmqq0Fk421OhdTg,001V9zGH5kdKaNGcqL,2022-07-02,true,2022-06-03
00T6MXTrKF9tWPMc6m,Follow-up - Intro,Qualification,In Progress,Low,005M1BnJPIeqHk8Nds,00QgSdQ9Vovz1kbMcW,006rdbm1HtB4WYsCK7,2022-05-01,true,2022-04-24
00TyEURZhIU7ezwVFM,Call - Intro,Follow-up,Completed,Normal,005VLfsfX7zhRzFubF,0030wjkgqt06BTQlN0,001lJpe7Vqp7OQJ93S,2024-09-05,false,2024-08-17
00TGmMRlia1MaushbK,Qualification - Follow-up,Follow-up,Not Started,Low,005HAD1xOIM0ZXro8p,003Re5gYrVlyiT2Elu,006NQk3wLehHEnCQeR,2022-07-26,false,2022-07-07
00Tpb5evALFKp1CBtS,Email - Follow-up,Qualification,In Progress,Low,005SW3xD3pVRHzXb4Z,003ypvHzMx8H80l0jS,001XzyhUxV4wLWEaHJ,2022-09-10,false,2022-08-15
00TBX5HH9H7Tgm2bPC,Discovery - Renewal,Qualification,In Progress,Low,0053WZIwXgjGUPdHRc,00QnQ9ObYVwOwlOaqY,006Tw0FKVv7GKXCeRy,2026-01-05,false,2025-12-27
00TJPKL0bcd5nGeNy0,Qualification - Renewal,Follow-up,Deferred,High,005FW7cpQveNM0iR7j,003sdWyzIgqkDqlDYg,006JYpdSeAWh41TfCs,2025-07-25,true,2025-07-06
00TI23JOzcLs18rxSF,Follow-up - Next Steps,Discovery,Deferred,Normal,0055pWDZRM9H820dFq,003h4L9fVDqrEAOKpR,001AsCo5QXSKceof1F,2025-07-23,false,2025-07-12
00TU8UXnInt2bzrp2V,Discovery - Next Steps,Discovery,Not Started,Low,005d2TMY2eGPYkWkSs,003hKCGqcsGNhbmdKd,006It5TYtMq49TjFR2,2024-10-31,false,2024-10-18
00TuWsGe8uQ1Ud433n,Email - Intro,Call,Not Started,Low,005AQpXsPDqHdTKZrg,00QSDMbBgEUCxyL5oS,006u5iiIpykm07J0be,2024-08-18,false,2024-08-03
00TRDAsJrnCaHFQ3vv,Email - Renewal,Call,Deferred,Normal,005mm9vtHx0K9TGlB7,00QQUrGo50JFHP1F5O,001SZMUiVIFy3F5DHf,2024-11-28,false,2024-10-31
00TG98kWr3mjVZzpQw,Follow-up - Follow-up,Follow-up,Deferred,Normal,005ZhFZ3TvVOVxKEgo,00QGppfgReK1Wu87Iw,006vHzc6Fp9zznlS5k,2022-02-21,false,2022-02-09
00T0FrK0NFodohd60O,Call - Follow-up,Call,Completed,Normal,0051FeBviD8WOpEx9p,003VurnLcgO4BdKBtE,,2022-09-26,true,2022-09-25
00TMRpN339BjNvKdQG,Follow-up - Renewal,Follow-up,Completed,Normal,005ponU3oUJcEecoTy,00QT0ZNg0oReeLCQ2G,006wNNMg71x0PIxF30,2024-10-06,true,2024-09-16
00To7flDesopgRdSFA,Qualification - Intro,Discovery,In Progress,Low,0052yGgxi1v4hCqV4x,00QXDGtWhcrFvmeZvS,001gJnJNLsjz6N3lEN,2023-05-01,true,2023-04-19
00TltnzZ2ZP4cPVhSX,Email - Intro,Follow-up,Not Started,Low,005Xq8vs8ialvuJ4ap,003ZabcW3gORwdJyI6,001zLrUumvxNtUV6XT,2024-06-26,false,2024-06-04
00TxZzf6ZUP0TsPGV1,Call - Renewal,Discovery,Completed,High,005ITUm8sMeUL9Z9US,00QT3I2bRApHay9W1S,001sLQSdq7Eod7Rxbs,2025-04-21,false,2025-03-31
00TwD7mQGAWQR3g4wJ,Discovery - Renewal,Email,Not Started,Normal,005CDjSs8Io3wfG3Ak,00Qu7TFZSIImUA5Dpf,006KsFSdbnMkryPDDB,2026-01-10,false,2026-01-07
00TrrszWU0ZT13LBdC,Discovery - Intro,Email,Not Started,Normal,005yopVEVGjrYSQu2q,00QVXhTFYBI2bmELtI,001ttHAmF4J64lR6Q4,2023-06-23,true,2023-06-03
00TcDwMLkxe3NOhlRL,Qualification - Intro,Qualification,Not Started,Low,005TpaHIC8CTfHGP4i,00QfcaKDCOtTtZ0DI8,001kIArzKyeOwLMvsm,2023-03-04,false,2023-02-21
00TnA6Y6YpjOYDzYAx,Email - Renewal,Email,Completed,High,005bZBvn4MclbYAtNN,003JsMFgg7imAPmgjI,0019HERDp6rePG0nGt,2023-07-11,false,2023-06-21
00T0uezarQgsRqQnTK,Discovery - Next Steps,Discovery,In Progress,Low,005Wrx3urpzsQneM9P,00QefTly5dSYu2uQxC,,2022-11-14,true,2022-10-19
00T3e6XBvJ3G2oi7M7,Discovery - Renewal,Email,Completed,High,005lkDbq9IPSQ2U7zZ,003QZJDv9oMlbi5hau,006SBDusRxyOfB2bLI,2025-01-22,false,2025-01-10
00TxIox8X4esWkuUBY,Call - Intro,Follow-up,Not Started,High,0055pWDZRM9H820dFq,00Q0f6NL19BWTvCfWb,001HHcKmUlYPkBSBpy,2024-02-29,true,2024-02-04
00T8qhQacNixD55GEw,Email - Follow-up,Email,Not Started,High,0053WZIwXgjGUPdHRc,00Qctktygp2CdiYb65,,2024-11-05,true,2024-10-06
00ToFNS9zcfxwGoBun,Qualification - Follow-up,Follow-up,Completed,Low,005k1Pfjp8rVQw0f9u,003I13lu3c8HVG92zV,006ubM6Vx8F9CqbrHQ,2024-03-04,true,2024-02-17
00TIQll1v6RWnYbK4A,Discovery - Follow-up,Follow-up,Deferred,Low,005kYbLfois6p7LjKf,00QGPkumCjSjVYc17l,006xu4PiCWefk5oS8i,2024-04-06,true,2024-03-31
00TvTWdduNXuH5gwl9,Call - Follow-up,Discovery,Deferred,Low,0053WZIwXgjGUPdHRc,003AbUQ9MTyQzquFpC,,2025-11-30,true,2025-11-20
00T1oTauc3WMR6EUBi,Follow-up - Next Steps,Discovery,Completed,Low,005t7soLyXgOHMyIPy,003LEAhtsCKV7iNMlw,006GKeYcJcV8zNNwHq,2024-06-25,false,2024-05-28
00TkrhOd2h7gT48AfC,Follow-up - Renewal,Email,In Progress,High,005PuqoGxlvwVICWiV,00QozlfVp4YiZuiNIx,006TeG8Dwjykrefief,2022-06-12,false,2022-05-23
00Tb0NbtmPXJE7TioA,Discovery - Intro,Follow-up,Deferred,High,005bZBvn4MclbYAtNN,003xIB8e7yg9xlYTn8,0061xqUcVouOYjf0E2,2025-08-07,false,2025-07-08
00TYEk0tBO8NhnTRG3,Qualification - Renewal,Discovery,Completed,Normal,005tRa1eePdjJYM6mg,003o3EhoTeH95FELCf,006W356se9eQsmoOYH,2025-01-11,false,2025-01-10
00TvQl9V5KLvn2AoU9,Follow-up - Follow-up,Qualification,Completed,Low,005OHuMUHvi8wsLMNv,003kK40AyxXkaWFxct,001S4Bl3fUX0YNT4BB,2025-12-13,false,2025-12-08
00ThWKwmmXeHzsXVr8,Email - Intro,Discovery,In Progress,High,005U2hcHrNtlfF5gcz,003El5L9tADOH4O49v,,2023-02-21,true,2023-02-16
00THJ48CZ9Mj4vMiEj,Follow-up - Intro,Call,Completed,High,005U1cnD3W8AfIM0Y9,00QQyMzqhJ9RWIPVwh,006I3nLfIfyoa9QhBM,2025-02-19,false,2025-02-06
00To1hx9cmXSBJVjnK,Email - Intro,Discovery,Not Started,Normal,005gXBXTL8NV8xfMOI,00QS9o7Ia1gomxIfBD,001SpOAqhpyqfw9KTQ,2023-09-18,false,2023-08-25
00TjBECeXSqt0ul2F9,Qualification - Renewal,Call,In Progress,Normal,005JwwpEL8xofdwkwl,00Q0opD6c74TLRXTjO,0065MgQ6jSchrSdv4S,2025-06-16,true,2025-06-10
00T7V1fwDvZ8uKbtUp,Qualification - Renewal,Qualification,Deferred,Low,005k1Pfjp8rVQw0f9u,00Qz2r6I94w6F0o6G4,0016TlXiqNljb6q802,2023-02-23,true,2023-02-20
00T9FPrlK7SMmwtymY,Qualification - Renewal,Qualification,In Progress,Low,005fDW8pqYyhUsaaJT,003SNq4TnNguY8xcVk,001Fh4nFPeovq9qEro,2022-11-05,false,2022-10-07
00TrdbQjE0NNaXjEyK,Call - Follow-up,Qualification,In Progress,Low,005VLfsfX7zhRzFubF,003XGa7HqWEv9vd2bu,006UQxDiV3FFRnCaPh,2022-01-10,false,2021-12-26
00TD8kk61d5mQUpkp7,Follow-up - Next Steps,Discovery,Completed,High,005aV0dZauGUbUqQX9,003NN8ggrLvpAmGUVl,006VW014ZucKb8DQnd,2023-05-29,false,2023-05-08
00TW4LXzyozKCYk7Oe,Discovery - Next Steps,Qualification,Completed,Normal,005N1Jj8umhbHxSPTH,003xKSyDVvdRQNtizO,006PHHLww7D5VyEq7V,2025-01-31,false,2025-01-12
00TmSWXZ0sdfs1VcVD,Email - Next Steps,Qualification,Deferred,High,005oNQqFKPLjEKAacs,003fgsy2XU7ntR59B5,,2025-05-06,true,2025-04-08
00TKrWytLgYEi1fGgm,Email - Follow-up,Qualification,Deferred,Low,005C9ZE4d3Sx2TUFjd,0033sK1k0sPgN1DlbY,006PQ5ffOg5DdVcRfG,2022-09-09,false,2022-08-11
00Tx2HrE4941VoaSrp,Discovery - Next Steps,Call,Completed,Normal,005gXBXTL8NV8xfMOI,00QsFYmtfIPdrWLxgo,001L870Dtr94I0sJis,2022-03-12,false,2022-02-21
00TgIuGhFgHdx3ngLA,Follow-up - Follow-up,Qualification,In Progress,High,0054cPwdknqYVBf2UL,00QhHOdSvZscZh68ao,001LeN3Zv1IduNLDtL,2023-01-07,true,2023-01-04
00TumqUnCD3WaukggD,Qualification - Follow-up,Call,Not Started,High,005gYdlj9yv5Cc6zkp,003Y19hkB5Gl9cSKWi,001Y3V194N0wL8S2Th,2022-11-22,true,2022-11-03
00TJ2tUF8rSd5o4Bzu,Follow-up - Follow-up,Qualification,Not Started,High,005ZgXPYFXOBU7G1tp,003XhemJs7GbeeA69M,006uwP79wrts68cDrA,2022-11-23,false,2022-11-12
00TYvMNzjriLn3Alv8,Call - Next Steps,Follow-up,In Progress,Low,0055zd5SriKEc8WlTo,003oruqE75EojQP0aB,006NwpJhawXmTNEnVG,2022-12-26,false,2022-12-05
00TLSqC1nA8uF890ps,Call - Renewal,Follow-up,Completed,Normal,005oRycfOWj8YbLrlq,003MFSq1cpS1TQZ7tQ,001Zdd3SePXHC4adtT,2025-07-03,true,2025-06-21
00TfLxU5q5G0He1qdQ,Email - Renewal,Qualification,In Progress,Low,0052vuTGNhPaf9DJtR,00QfJoRvmqET8Xy8y4,001uUynJF2q2WCM6MD,2023-10-08,false,2023-09-13
00T45sAqKGVjYghku0,Qualification - Intro,Qualification,In Progress,High,005A7aBOiWo1s4A8VA,003rPvf5A1VGBPCI1C,001LoZfdKhAcu67KDD,2022-07-10,true,2022-06-26
00TSAHnqhXslhqZSpI,Discovery - Next Steps,Call,Completed,Normal,005VxJy5mAR2JIiQzL,00QLYvYMuCS5YER92L,001E1HU8BIPh8FgTSs,2022-01-18,true,2021-12-23
00T6KXnsga2q88c7Ae,Follow-up - Intro,Call,Deferred,Normal,005U2hcHrNtlfF5gcz,003tLPETQgnhl7oOPG,001NenKHO8Hb08vjLI,2022-01-15,false,2022-01-05
00TIOjwZRi78yPh6FJ,Qualification - Renewal,Call,Completed,Normal,005YgcwjR0nrnHIGZX,00QN3Lzeovqzxe6eVT,001ouhJxAlWDn6d8T1,2024-06-12,false,2024-06-03
00TJslcpdRopnp0Xyo,Qualification - Follow-up,Email,Deferred,Low,005DleKhounx1YJ0rP,00Q9PGpFNOIaKNwMv1,001YVZkSJcpaoMjA1o,2025-09-23,false,2025-09-05
00TxP4baueiQDvXCTR,Email - Intro,Call,Deferred,Low,005dEsDKcaedNVmJU3,00Qc99qgvxJo2t6vhh,006wNTUn9nrkXwMSoH,2022-08-28,true,2022-08-11
00Tsut7RDpmdVzPeJo,Qualification - Renewal,Discovery,In Progress,Low,005N1Jj8umhbHxSPTH,003401WpmOpKdnDTZj,006olRSL8k4vIfcbtU,2024-07-01,true,2024-06-30
00TvfnPBz6UBlw7BRw,Follow-up - Next Steps,Email,Not Started,High,0053VzHd9EJw9O3rur,00QIHeTfp9zeIFehAV,001HrS6CBovYdmbHUg,2024-03-02,false,2024-02-25
00TDP9FJCeNQNt6pYS,Follow-up - Next Steps,Email,Deferred,High,005PsOTr02Fp2pwCFZ,003JeZTXmLDbLM3QD8,001xRszo3TYERAfi1a,2024-05-18,false,2024-04-20
00TQQclpLrLiaEGezb,Follow-up - Intro,Discovery,Not Started,High,005DS8Y3naP935K0U7,003LhMN8ui6wxzH1TI,001itTrgeuQHXJzAxN,2022-08-30,false,2022-08-20
00TCTLdTePUxc3iyxA,Email - Next Steps,Follow-up,Deferred,High,0052yGgxi1v4hCqV4x,00QxRONcwgc7aSe1R4,0065peyqxvYuRxcfKw,2022-10-22,false,2022-10-02
00T8TYJktTMct1fxxv,Qualification - Next Steps,Call,Not Started,Low,005lkDbq9IPSQ2U7zZ,00Q6PcTvDAwMJe7tlP,001TXIxJ0UOza0Hqtt,2023-02-18,true,2023-01-27
00TKniBk0PtimxYck0,Qualification - Renewal,Follow-up,In Progress,Low,005GBFWjFmmyU3YASa,003o7y7GEmMbW2ZTHo,006noC1kfpjXrEGA1c,2025-03-12,true,2025-02-27
00TkVOPQuqxPsQPtHd,Qualification - Intro,Follow-up,Deferred,Low,005SW3xD3pVRHzXb4Z,00Q0ym2KXysFABNJTN,001ArI4grvXpM8faal,2025-06-14,false,2025-06-11
00Ts9SRbpMgQDGhJy3,Discovery - Follow-up,Discovery,Deferred,High,005oTuswObpFtGANeE,003YjzLDMjWGtkHg5b,006Y5RYPioITw9k4FR,2022-05-12,true,2022-04-21
00TxlnrFJiDwwA0hv6,Qualification - Next Steps,Call,Completed,Low,005F4DJKwnDrFRcqbf,00QgllSGkP3aqdOfNG,006t8F09eUccUgMyog,2022-04-17,false,2022-04-10
00TYk8Q19EU0WeIZD6,Follow-up - Renewal,Discovery,Completed,Normal,005NgdXDnoq7n6eqfB,0038fnSWvBa3197KhY,00165yS7iubX1mccq9,2023-04-02,true,2023-03-23
00Tz6Y6q5F1FzxakCh,Discovery - Renewal,Follow-up,In Progress,High,005nz6ixedb0ulRU2P,00QcUqhhV1yp506ILV,001w259kSW56MjjLNI,2023-11-10,false,2023-11-04
00TqQqr6DPUvMQUsCg,Qualification - Next Steps,Follow-up,In Progress,High,005oyndEH15fmiBogk,003YhBSZTowpSUXH8b,006ErVysCDunxhXAQk,2024-06-30,false,2024-06-02
00Tml3HhNgRHnuFu3x,Discovery - Follow-up,Discovery,Not Started,Normal,005iSUGFUqSTcmtbKs,0034bzHXyygkfnG0rW,006t944K4gFYZ8WSVb,2025-10-14,false,2025-10-09
